in_anno	in_ydb	ydb_section	standard_status	symbol	operator_class	description
false	true	ProgrammersGuide/langfeat.rst#arithmetic-operators	ansi	#	arithmetic	binary operator for modulo, that is, causes M to produce the remainder from integer division of the first argument by the second
false	true	ProgrammersGuide/langfeat.rst#arithmetic-operators	ansi	*	arithmetic	binary operator for multiplication
false	true	ProgrammersGuide/langfeat.rst#arithmetic-operators	ansi	**	arithmetic	binary operator for exponentiation
false	true	ProgrammersGuide/langfeat.rst#arithmetic-operators	ansi	+	arithmetic	as a unary operator it simply forces M to evaluate the expression following as numeric; as a binary operator it causes M to perform addition
false	true	ProgrammersGuide/langfeat.rst#arithmetic-operators	ansi	-	arithmetic	as a unary operator it causes M to negate the expression following; as a binary operator it causes M to perform subtraction
false	true	ProgrammersGuide/langfeat.rst#arithmetic-operators	ansi	/	arithmetic	binary operator for fractional division
false	true	ProgrammersGuide/langfeat.rst#arithmetic-operators	ansi	\	arithmetic	binary operator for integer division
false	true	ProgrammersGuide/langfeat.rst#logical-operators	ansi	!	logical	binary OR operator produces a true result if either of the expressions is true
false	true	ProgrammersGuide/langfeat.rst#logical-operators	ansi	&	logical	binary AND operator produces a true result only if both of the expressions are true
false	true	ProgrammersGuide/langfeat.rst#logical-operators	ansi	'	logical	unary NOT operator negates current truth-value; M accepts placement of the NOT operator next to a relational operator, for example, A'=B meaning '(A=B), i.e., NAND and next to logical operators, A'& B meaning '(A & B) i.e. NAND and A'! B meaning '(A ! B) i.e. NOR
false	true	ProgrammersGuide/langfeat.rst#numeric-relational-operators	ansi	<	numeric-relational	binary arithmetic less than
false	true	ProgrammersGuide/langfeat.rst#numeric-relational-operators	ansi	>	numeric-relational	binary arithmetic greater than
false	true	ProgrammersGuide/langfeat.rst#string-relational-operators	ansi	=	string-relational	binary operator causes M to produce a TRUE if the expressions are equal
false	true	ProgrammersGuide/langfeat.rst#string-relational-operators	ansi	[	string-relational	binary operator causes M to produce a TRUE if the first expression contains the ordered sequence of characters in the second expression
false	true	ProgrammersGuide/langfeat.rst#string-relational-operators	ansi	]	string-relational	binary operator causes M to produce a TRUE if the first expression lexically follows the second expression in the character encoding sequence, which by default is ASCII
false	true	ProgrammersGuide/langfeat.rst#string-relational-operators	ansi	]]	string-relational	binary operator causes M to produce a TRUE if the first expression lexically sorts after the second expression in the subscript collation sequence
